單字(Word),中文(Chinese),主題(Topic),音標(Phonetic),難度年級(Grade),拼字音節(Chunks),例句1(Sentence1),例句1中譯(Translation1),例句2(Sentence2),例句2中譯(Translation2)
nice,親切的/友善的/美好的,Personal,/naɪs/,3,nice,We had a very nice trip to the zoo yesterday.,我們昨天去動物園玩得很愉快。,It is nice of you to share your drawing crayons.,你真好，願意分享你的繪圖蠟筆。
lazy,懶惰的,Personal,/ˈleɪ.zi/,3,lazy,The lazy dog did not want to go out for a walk.,這隻懶惰的狗不想出去散步。,Do not be lazy; keep working on your dreams.,不要懶惰，為你的夢想努力奮鬥吧。
cute,可愛的,Personal,/kjuːt/,3,cute,Look at that cute rabbit eating a fresh carrot.,看那隻正在吃新鮮胡蘿蔔的可愛兔子。,The cute koala is sleeping in the eucalyptus tree.,可愛的無尾熊正在尤加利樹上睡覺。
smart,聰明的/時髦的,Personal,/smɑːrt/,3,smart,The smart dolphin can do tricks with a ball.,這隻聰明的海豚會用球做特技。,A smart dog can learn many tricks from its owner.,聰明的狗可以從主人那裡學會很多把戲。
old,老的/舊的/年老的,Personal,/oʊld/,3,old,Our school has a very old eucalypt tree.,我們學校有一棵非常古老的尤加利樹。,I found an old map of our school in the library.,我在圖書館找到了一張我們學校的舊地圖。
tall,高的(高聳的),Personal,/tɑːl/,3,tall,He is very tall and plays basketball very well.,他很高，而且籃球打得很好。,Giraffes are the tallest animals on land.,長頸鹿是陸地上最高的動物。
short,矮的/短的,Sizes & measurements,/ʃɔːrt/,3,short,She wrote a short story about her friendly pet.,她寫了一個關於她友好寵物的短篇故事。,He wrote a short English paragraph in his notebook.,他在筆記本上寫了一段簡短的英文。
thin,薄的/瘦的/稀薄的,Personal,/θɪn/,3,thin,"The cat looks thin, so we should feed it.",這隻貓看起來很瘦，我們應該餵牠。,A thin sheet of paper can still contain great ideas.,薄薄的一張紙仍然可以寫下偉大的想法。
heavy,重的/沉重的/大量的,Personal,/ˈhev.i/,3,heavy,The heavy box is full of English textbooks.,這個重箱子裝滿了英文教科書。,The heavy rain caused some small water pools on the playground.,大雨在操場上造成了一些小水窪。
pretty,漂亮的/相當,Personal,/ˈprɪt.i/,3,pret/ty,She bought a pretty pink dress for the party.,她為派對買了一件漂亮的粉紅色洋裝。,She painted a pretty butterfly on the card.,她在卡片上畫了一隻漂亮的蝴蝶。
angry,生氣的/憤怒的,Personal,/ˈæŋ.ɡri/,3,an/gry,My mom was angry because I broke the window.,我媽媽很生氣，因為我打破了窗戶。,He was angry with himself for making a silly mistake.,他因為犯了一個愚蠢的錯誤而生氣。
mad,生氣的/發瘋的,Personal,/mæd/,3,mad,Dad got mad when he saw the dirty kitchen floor.,爸爸看到髒亂的廚房地板時變得很生氣。,Please do not be mad; let's talk and resolve it.,請不要生氣，讓我們談談並解決它。
excited,興奮的/激動的,Personal,/ɪkˈsaɪ.t̬ɪd/,3,ex/cit/ed,The students are excited about the school trip.,學生們對學校旅行感到很興奮。,The students were excited about the field trip.,學生們對戶外教學感到非常興奮。
bored,感到無聊的/無趣的,Personal,/bɔːrd/,3,bored,I felt bored because the movie was too long.,我感到很無聊，因為電影太長了。,"I felt bored, so I went out to play basketball.",我感到無聊，所以出去打籃球。
there,那裡/那兒,Place,/ðer/,3,there,Look! There is a beautiful rainbow in the sky.,看！天空有一道美麗的彩虹。,Look at that tall tree over there; a little bird is singing.,看那邊那棵高樹，有一隻小鳥在唱歌。
left,左邊/左方的/留下,Place,/left/,3,left,Please turn left at the next street corner.,請在下一個路口往左轉。,There are only three apples left in the basket.,籃子裡只剩下三個蘋果了。
right,右邊/右方的/正確的,Place,/raɪt/,3,right,He wrote down the answer with his right hand.,他用右手寫下答案。,Turn right at the bookstore to find the playground.,在書店右轉即可找到操場。
here,這裡/這兒,Place,/hɪr/,3,here,Come here and look at this funny picture.,過來這裡看這張有趣的圖片。,Please sit here next to me and share the book.,請坐在我旁邊，一起分享這本書。
bank,銀行/河岸,Place,/bæŋk/,3,bank,My mother works as a teller in a bank.,我媽媽在銀行擔任櫃檯人員。,My mother went to the bank to save some money.,我媽媽去銀行存了一些錢。
park,公園/停車,Place,/pɑːrk/,3,park,We love to play soccer in the park on weekends.,我們週末喜歡在公園踢足球。,Let's fly our new kites in the park this weekend.,這個週末我們去公園放我們的新風箏吧。
zoo,動物園,Place,/zuː/,3,zoo,We saw many wild animals at the Taipei zoo.,我們在台北動物園看到了許多野生動物。,We can see monkeys climbing trees at the zoo.,我們可以在動物園看到猴子爬樹。
shop,商店/購物,Place,/ʃɑːp/,3,shop,She bought some cute pencil cases in the shop.,她在商店裡買了一些可愛的筆袋。,My sister likes to shop for cute stickers at the bookstore.,我妹妹喜歡去書店購買可愛的貼紙。
store,商店/儲存,Place,/stɔːr/,3,store,The toy store is closed on Monday morning.,這家玩具店在星期一早上休息。,We bought fresh milk at the corner grocery store.,我們在轉角的雜貨店買了新鮮牛奶。
bookstore,書店,Place,/ˈbʊk.stɔːr/,3,book/store,I bought this English dictionary from the bookstore.,我從書店買了這本英文字典。,I found an interesting book about stars at the bookstore.,我在書店找到一本關於星星的有趣書籍。
market,市場/超市,Place,/ˈmɑːr.kɪt/,3,mar/ket,Grandma bought fresh vegetables at the morning market.,阿嬤在早市買了新鮮蔬菜。,The farmer sells fresh red apples in the morning market.,農夫在早市販賣新鮮的紅蘋果。
office,辦公室,Place,/ˈɑː.fɪs/,3,of/fice,The principal is working in his school office.,校長正在他的學校辦公室裡工作。,Please deliver this message to the teacher's office.,請把這個消息送到教師辦公室。
post office,郵局,Places,/ˈpoʊst ˌɑː.fɪs/,3,post/of/fice,He went to the post office to mail a letter.,他去郵局寄信。,I bought some beautiful stamps at the post office.,我在郵局買了一些美麗的郵票。
restroom,洗手間/廁所,Places,/ˈrest.ruːm/,3,re/stroom,"Excuse me, where is the restroom in this library?",不好意思，這家圖書館的廁所在哪裡？,Please wash your hands when you leave the restroom.,離開洗手間時請洗手。
restaurant,餐廳/餐館,Places,/ˈres.tə.rɑːnt/,3,restau/rant,We had a delicious dinner at the Italian restaurant.,我們在義大利餐廳吃了一頓美味的晚餐。,We sat together to enjoy a warm dinner at the restaurant.,我們在餐廳裡坐在一起享用溫馨的晚餐。
museum,博物館,Places,/mjuːˈziː.əm/,3,mu/se/um,We learned about dinosaurs at the science museum.,我們在自然科學博物館學習了關於恐龍的知識。,The art museum has many colorful paintings by children.,美術館/博物館裡有許多孩子們畫的彩色畫作。
hospital,醫院,Places,/ˈhɑːs.pɪ.təl/,3,hos/pi/tal,The sick boy had to stay in the hospital.,生病的小男孩必須住在醫院裡。,My father went to the hospital to visit a sick friend.,我爸爸去醫院探望一位生病的朋友。
fire station,消防局/消防站,Places,/ˈfaɪr ˌsteɪ.ʃən/,3,fire/sta/tion,A red fire engine left the fire station quickly.,一輛紅色的消防車迅速離開了消防局。,We visited the local fire station and met the brave firefighters.,我們參觀了當地的消防局並遇到了勇敢的消防員。
movie theater,電影院,Places,/ˈmuː.vi ˌθɪr.ə.t̬ɚ/,3,movie/the/ater,We watched a fun animation in the movie theater.,我們在電影院看了一部有趣的動畫片。,We sat together to watch a movie in the theater yesterday.,我們昨天在電影院坐在一起看電影。
police station,警察局/派出所,Places,/pəˈliːs ˌsteɪ.ʃən/,3,po/lice/sta/tion,The police station is next to the post office.,警察局在郵局旁邊。,The police station is a safe place where police officers work.,警察局是警察工作的安全地方。
department store,百貨公司,Places,/dɪˈpɑːrt.mənt ˌstɔːr/,3,de/part/ment/store,Mom bought a new bag at the department store.,媽媽在百貨公司買了一個新皮包。,We bought a new warm coat at the department store.,我們在百貨公司買了一件新的保暖外套。
Taiwan,台灣/臺灣,Places,/ˈtaɪ.wɑːn/,3,Tai/wan,Taiwan is a beautiful island with friendly people.,台灣是一個有著友善人民的美麗島嶼。,Taiwan is famous for its delicious fruit and night markets.,台灣以其美味的水果和夜市而聞名。
the UK,英國,Places,/ðə ˌjuːˈkeɪ/,3,the/UK,London is the capital city of the UK.,倫敦是英國的首都。,He is planning to study English in the UK next year.,他計劃明年去英國學習英文。
the USA,美國,Places,/ðə ˌjuː.esˈeɪ/,3,the/USA,My uncle lives in California in the USA.,我叔叔住在美國的加州。,We want to visit the Grand Canyon in the USA.,我們想去參觀美國的大峽谷。
Germany,德國,Place,/ˈdʒɝː.mə.ni/,3,Ger/many,Germany is famous for its fast cars and forests.,德國以跑車和森林聞名。,My uncle sent me a beautiful toy car from Germany.,我叔叔從德國寄給我一輛漂亮的玩具車。
France,法國,Place,/fræns/,3,France,They plan to visit Paris in France next summer.,他們計劃明年夏天訪問法國的巴黎。,The Eiffel Tower is a very famous landmark in France.,艾菲爾鐵塔是法國非常著名的地標。
Japan,日本,Place,/dʒəˈpæn/,3,Japan,We ate delicious sushi during our trip to Japan.,我們在日本旅行期間吃了美味的壽司。,Cherry blossoms are very beautiful in Japan during spring.,春天時日本的櫻花非常美麗。
Korea,韓國/南韓,Place,/kəˈriː.ə/,3,Ko/rea,K-pop music is very popular in Korea and Taiwan.,韓國流行音樂在韓國和台灣非常流行。,My aunt taught me how to make traditional food from Korea.,我阿姨教我如何做韓國傳統食物。
Philippines,菲律賓,Place,/ˈfɪl.ɪ.piːnz/,3,Philip/pines,The Philippines consists of many beautiful tropical islands.,菲律賓由許多美麗的熱帶島嶼組成。,My cousin went to the Philippines for a beach holiday.,我堂哥去菲律賓進行海灘度假。
Vietnam,越南,Place,/ˌvjet.ˈnæm/,3,Viet/nam,Vietnamese noodle soup tastes very fresh and delicious.,越南河粉湯喝起來非常清鮮美味。,He bought a traditional hat from Vietnam as a gift.,他買了一個越南傳統帽子作為禮物。
India,印度,Place,/ˈɪn.di.ə/,3,In/dia,Taj Mahal is a very famous monument in India.,泰姬瑪哈陵是印度非常著名的古蹟。,Yoga is an ancient exercise that comes from India.,瑜伽是一種源自印度的古老運動。
Singapore,新加坡,Place,/ˈsɪŋ.ə.pɔːr/,3,Sin/ga/pore,Singapore is a clean and green city-state.,新加坡是一個乾淨且綠意盎然的城市國家。,We visited the beautiful Merlion Park in Singapore.,我們參觀了新加坡美麗的魚尾獅公園。
Uganda,烏干達,Place,/juːˈɡæn.də/,3,Ugan/da,Uganda is a beautiful country in East Africa.,烏達蘭是東非一個美麗的國家。,Lake Victoria in Uganda is the largest lake in Africa.,烏干達的維多利亞湖是非洲最大的湖泊。
Thailand,泰國,Place,/ˈtaɪ.lænd/,3,Thai/land,We saw many elephants during our visit to Thailand.,我們在泰國旅行期間看到了許多大象。,Thai food is famous for its sweet and sour tastes.,泰國食物以其酸甜味道而聞名。
Canada,加拿大,Place,/ˈkæn.ə.də/,3,Cana/da,Niagara Falls is located on the border of Canada.,尼加拉瀑布位於加拿大的邊界。,The maple leaf is the national symbol on Canada's flag.,楓葉是加拿大國旗上的國家象徵。
Italy,義大利,Place,/ˈɪt.ə.li/,3,Italy,Pizza and spaghetti are famous foods from Italy.,披薩和義大利麵是來自義大利的著名食物。,"Italy is famous for its history, art, and pizza.",義大利以其歷史、藝術和披薩而聞名。
school,學校,School,/skuːl/,3,school,We go to school from Monday to Friday.,我們星期一到星期五去上學。,We walk to school together every morning.,我們每天早上一起走路去學校。
class,班級/課堂,School,/klæs/,3,class,Please be quiet because the English class has started.,請安靜，因為英文課已經開始了。,We listen patient to the teacher in class.,我們在課堂上耐心地聽老師講課。
PE,體育/體育課,School,/ˌpiːˈiː/,3,PE,We played basketball in our PE class today.,我們今天在體育課打了籃球。,We play soccer and run races in PE class.,我們在體育課上踢足球和進行跑步比賽。
art,美勞/藝術/美術,School,/ɑːrt/,3,art,I like art class because I can draw animals.,我喜歡美術課，因為我可以畫動物。,I drew a beautiful sunset during our art class.,我在美勞課上畫了一落日餘暉。
draw,畫/繪製/拉,Actions,/drɑː/,3,draw,She loves to draw pictures of flowers and trees.,她熱愛畫花草樹木的圖片。,I want to draw a picture of my family.,我想畫一張我們全家人的畫。
math,數學,School,/mæθ/,3,math,We learned how to add numbers in math class.,我們在數學課學習了如何做數字加法。,Math is a very interesting subject that helps us think.,數學是一門非常有趣的學科，能幫助我們思考。
music,音樂,School,/ˈmjuː.zɪk/,3,mu/sic,We learned to play the recorder in music class.,我們在音樂課學習了吹直笛。,Listening to soft music makes me feel relaxed.,聽輕柔的音樂讓我感到放鬆。
English,英文/英語/英國的,School,/ˈɪŋ.ɡlɪʃ/,3,Eng/lish,We practice speaking English with our teacher every day.,我們每天和老師練習說英文。,We practice speaking English with our teacher.,我們和我們的老師練習說英文。
Chinese,中文/漢語/中國人/中國的,School,/tʃaɪˈniːz/,3,Chi/nese,Chinese characters have a very long and interesting history.,中文字有著非常悠久且有趣的歷史。,We learn how to write beautiful Chinese characters.,我們學習如何寫美麗的中文字。
ask,詢問/要求/問,Actions,/æsk/,3,ask,Do not be afraid to ask questions in class.,在課堂上不要害怕發問。,Please ask the teacher if you have any questions.,如果你有任何問題請詢問老師。
answer,回答/答案/答覆,Actions,/ˈæn.sɚ/,3,an/swer,Who knows the correct answer to this question?,誰知道這個問題的正確答案？,She raised her hand to answer the English question.,她舉手回答英文問題。
say,說/講,Actions,/seɪ/,3,say,What did the teacher say about the homework?,老師對作業說了些什麼？,What did the teacher say about the homework today?,老師今天關於功課說了什麼？
speak,說話/演講/講(語言),Actions,/spiːk/,3,speak,Our English teacher can speak three different languages.,我們的英文老師會說三種不同的語言。,Please speak English slowly so everyone can hear clearly.,請慢慢說英語，這樣大家才能聽得清楚。
talk,談話/說話/交談,Actions,/tɑːk/,3,talk,Please do not talk when the teacher is speaking.,老師說話時請不要交談。,We sat on the bench to talk about our weekend.,我們坐在長椅上聊我們的週末。
spell,拼字/拼寫,Actions,/spel/,3,spell,Can you spell the word 'elephant' for me?,你能幫我拚寫 'elephant' 這個字嗎？,Can you show me how to spell the word elephant?,你能教我大象這個單字怎麼拼嗎？
listen,聽/聆聽/聽從,Actions,/ˈlɪs.ən/,3,lis/ten,Listen carefully to the recording and write down answers.,仔細聽錄音並寫下答案。,We must listen carefully to our classmates' reports.,我們必須仔細聆聽同學的報告。
study,學習/研讀/書房,School,/ˈstʌd.i/,3,study,We need to study hard for the English test.,我們需要為英文考試努力學習。,We study hard to prepare for the quiz tomorrow.,我們努力學習準備明天的測驗。
test,測試/考試,School,/test/,3,test,We have a spelling test every Friday morning.,我們每個星期五早上都有拼字測驗。,Do not worry about the test; just try your best.,不要擔心考試，盡力而為就好。
question,問題/詢問,School,/ˈkwes.tʃən/,3,ques/tion,"If you have any question, please raise your hand.",如果您有任何問題，請舉手。,This is a very good question that makes us think.,這是一個能讓我們思考的好問題。
glue,膠水/黏貼,School,/ɡluː/,3,glue,Use the glue to stick the picture onto paper.,用膠水將圖片貼在紙上。,Use a little glue to stick the picture on the card.,用一點膠水把圖片貼在卡片上。
pen,原子筆/筆,School,/pen/,3,pen,Can I borrow a blue pen to write notes?,我可以借一支藍色原子筆來寫筆記嗎？,My teacher writes notes with a red ink pen.,我的老師用紅色原子筆寫評語。
marker,白板筆/麥克筆/標記,School,/ˈmɑːr.kɚ/,3,mark/er,The teacher wrote the sentences with a black marker.,老師用黑色麥克筆寫下了句子。,She picked a green marker to write on the whiteboard.,她拿了一支綠色白板筆在白板上寫字。
eraser,橡皮擦,School,/ɪˈreɪ.sɚ/,3,eras/er,I used my eraser to rub out the mistake.,我用我的橡皮擦擦掉了錯誤。,I used my eraser to clean the spelling mistake.,我用橡皮擦擦掉拼寫錯誤。
paper,紙/報紙,School,/ˈpeɪ.pɚ/,3,pa/per,He drew a beautiful map on a sheet of paper.,他在一張紙上畫了一幅美麗的地圖。,Please write down your thoughts on this sheet of paper.,請在這張紙上寫下你的想法。
ruler,尺/統治者,School,/ˈruː.lɚ/,3,ruler,Use a ruler to draw a straight line here.,在這裡用直尺畫一條直線。,We use a ruler to draw straight lines in math class.,我們在數學課上用尺來畫直線。
friend,朋友,School,/frend/,3,friend,We should be friendly to our classmates and friends.,我們應該對我們的同學和朋友友善。,A good friend always helps you when you are in trouble.,好朋友總是在你遇到困難時幫助你。
story,故事/樓層,School,/ˈstɔːr.i/,3,sto/ry,My grandfather told us a funny story last night.,我爺爺昨晚跟我們講了一個有趣的故事。,My mom told me a wonderful story before I slept.,我睡前媽媽給我講了一個精采的故事。
picture,圖畫/照片/影像,School,/ˈpɪk.tʃɚ/,3,pic/ture,She hung a beautiful picture of a forest here.,她在這裡掛了一幅美麗的森林圖片。,I took a beautiful picture of the green mountain.,我拍了一張美麗綠山的照片。
blackboard,黑板,School,/ˈblæk.bɔːrd/,3,black/board,Please look at the blackboard and read the sentences.,請看黑板並朗讀句子。,He wiped the blackboard clean for the next teacher.,他把黑板擦乾淨，好給下一位老師使用。
classroom,教室,School,/ˈklæs.ruːm/,3,class/room,The students are cleaning their classroom after school today.,學生們今天放學後正在打掃他們的教室。,We decorated our classroom with colorful paintings.,我們用色彩繽紛的畫作裝飾教室。
vacation,假期/休假,School,/veɪˈkeɪ.ʃən/,3,va/ca/tion,We plan to go to the beach during summer vacation.,我們計劃暑假期間去海灘。,Our family plans to travel during summer vacation.,我們全家計劃在暑假期間去旅遊。
holiday,假日/節日,School,/ˈhɑː.lə.deɪ/,3,hol/i/day,Christmas is my favorite holiday of the whole year.,聖誕節是我整年中最適愛的節日。,We rested at home during the national holiday.,在國定假日期間，我們在家休息。
big,大的/重大的,Sizes & measurements,/bɪɡ/,3,big,The elephant is a very big animal with long nose.,大象是有著長鼻子的龐大動物。,A big elephant can carry heavy logs with its trunk.,大象能用牠的鼻子搬運重木頭。
small,小的/微弱的,Sizes & measurements,/smɑːl/,3,small,A small ant is carrying a bread crumb slowly.,一隻小螞蟻正在緩慢地搬運麵包屑。,The small mouse ran quickly into a tiny hole.,小老鼠快速跑進了一個小洞裡。
long,長期的/長的/渴望,Sizes & measurements,/lɑːŋ/,3,long,Giraffes have a very long neck to eat leaves.,長頸鹿有很長的脖子以吃樹葉。,A giraffe has a very long neck to reach high leaves.,長頸鹿有著很長脖子來吃到高處的葉子。
light,輕的/明亮的/光線/點燃,Sizes & measurements,/laɪt/,3,light,"The feather is very light, but the rock is heavy.",羽毛很輕，但石頭很重。,A feather is very light and can float in the breeze.,羽毛非常輕，可以在微風中漂浮。
high,高的/高地/高度,Sizes & measurements,/haɪ/,3,high,The eagle is flying high above the green mountains.,老鷹正飛在高高的青山之上。,The bird is flying high above the white clouds.,鳥在白雲高空飛翔。
pair,一雙/一對,Sizes & measurements,/per/,3,pair,He bought a new pair of sports shoes yesterday.,他昨天買了一雙新的運動鞋。,I bought a new pair of sport shoes yesterday.,我昨天買了一雙新的運動鞋。
play,玩/打(球)/玩耍,Sports,/pleɪ/,3,play,Children love to play games on the school playground.,孩子們喜歡在學校操場上玩遊戲。,The children play happily on the school swings.,孩子們在學校鞦韆上玩得很高興。
sing,唱歌/吟唱,Sports,/sɪŋ/,3,sing,The students sing songs happily in the music class.,學生們在音樂課上快樂地唱歌。,My sister sings a sweet song for our grandmother.,我妹妹為我們的祖母唱了一首甜美的歌。
dance,跳舞/舞蹈,Sports,/dæns/,3,dance,She likes to dance to the lively pop music.,她喜歡隨著輕快的流行音樂跳舞。,The children love to dance to the cheerful music.,孩子們很喜歡跟著輕快的音樂跳舞。
paint,繪畫/油漆/顏料,Sports,/peɪnt/,3,paint,He wants to paint the bird cage yellow tomorrow.,他明天想把鳥籠漆成黃色。,We use water color paint to make school posters.,我們用水彩顏料來製作學校海報。
hike,健行/徒步旅行,Sports,/haɪk/,3,hike,We love to hike in the mountains on sunny weekends.,我們喜歡在晴朗的週末去山上健行。,We like to hike in the mountains on sunny weekends.,我們喜歡在晴朗的週末去山裡健行。
swim,游泳,Sports,/swɪm/,3,swim,Polar bears can swim very fast in the cold ocean.,北極熊可以在寒冷的海洋中游得很快。,We swim in the school pool in hot summer.,我們在炎熱的夏天在學校泳池裡游泳。
climb,攀爬/爬/攀登,Sports,/klaɪm/,3,climb,The monkeys like to climb trees and jump around.,猴子們喜歡爬樹並跳來跳去。,The clever monkey can climb trees very fast.,聰明的猴子爬樹可以爬得很快。
ball,球/舞會,Sports,/bɑːl/,3,ball,Throw the ball to me and I will catch it.,把球丟給我，我會接住它。,He kicked the ball straight into the goal.,他把球直接踢進了球門。
baseball,棒球/棒球運動,Sports,/ˈbeɪs.bɑːl/,3,base/ball,Baseball is one of the most popular sports in Taiwan.,棒球是台灣最受歡迎的運動之一。,We played baseball in the park yesterday afternoon.,我們昨天下午在公園打了棒球。
basketball,籃球/籃球運動,Sports,/ˈbæs.kət.bɑːl/,3,bas/ket/ball,They practice playing basketball after school every Tuesday afternoon.,他們每個星期二下午放學後練習打籃球。,My brother trains hard to be a good basketball player.,我哥哥努力訓練想成為一名優秀的籃球員。
football,美式足球/足球,Sports,/ˈfʊt.bɑːl/,3,foot/ball,"In the UK, people call soccer football.",在英國，人們把 soccer 叫做 football。,Football is a popular sport in many countries.,美式足球/足球在許多國家是受歡迎的運動。
soccer,足球,Sports,/ˈsɑː.kɚ/,3,soc/cer,We have a friendly soccer game with another school.,我們和另一所學校有一場友誼足球賽。,We play soccer together on the school field during recess.,下課時間我們在學校操場上一起踢足球。
sport,運動/體育活動,Sports,/spɔːrt/,3,sport,Running and swimming are very good sports for health.,跑步和游泳是對健康非常好得運動。,Running is a simple sport that keeps you healthy.,跑步是能讓你保持健康的簡單運動。
toy,玩具/玩物,Other nouns,/tɔɪ/,9,toy,He shared his new toy car with his little brother.,他和弟弟分享了他的新玩具車。,Please share your toys with your younger brother.,請和你的弟弟分享你的玩具。
doll,洋娃娃/玩偶,Sports,/dɑːl/,3,doll,My little sister put her cute doll to bed.,我妹妹把她可愛的玩偶放上床睡覺。,My sister likes to dress up her favorite doll.,我妹妹喜歡給她最喜愛的洋娃娃裝扮。
yo-yo,溜溜球,Sports,/ˈjoʊ.joʊ/,3,yo/yo,He showed us a cool trick with his red yo-yo.,他用他的紅溜溜球向我們展示了一個炫酷的特技。,My grandfather taught me a cool trick with the yo-yo.,我爺爺教了我一個很酷的溜溜球把戲。
win,贏得/獲勝,Sports,/wɪn/,3,win,Our school team hopes to win the soccer game.,我們校隊希望能贏得這場足球賽。,"If we work together, we can win this game.",如果我們合作，我們就能贏得這場比賽。
trip,旅行/旅程/跌倒,Sports,/trɪp/,3,trip,We are planning a short day trip to Yilan.,我們正在計劃去宜蘭的短途一日遊。,We had a wonderful family trip to Hualien last month.,上個月我們去花蓮進行了一次美好的家庭旅行。
card,卡片/紙牌,Sports,/kɑːrd/,3,card,She sent a handmade birthday card to her teacher.,她寄了一張手工製作的生日卡片給老師。,I made a colorful card to wish my grandpa a happy birthday.,我做了一張彩色的卡片祝我爺爺生日快樂。
drum,鼓/打鼓,Sports,/drʌm/,3,drum,He plays the drum loudly in the school band.,他在學校樂隊裡大聲地敲鼓。,He plays the drum in our school music band.,他在我們學校的管樂隊裡打鼓。
game,遊戲/比賽,Sports,/ɡeɪm/,3,game,Let us play an interesting board game together tonight.,我們今天晚上一起玩一個有趣的桌遊吧。,We played a fun English spelling game in class today.,我們今天在課堂上玩了一個有趣的英文拼字遊戲。
kite,風箏,Sports,/kaɪt/,3,kite,A strong wind makes the colorful kite fly high.,強風讓色彩繽紛的風箏飛得很高。,A colorful kite is flying high in the blue sky.,一隻彩色的風箏在藍天中高飛。
song,歌曲/歌,Sports,/sɑːŋ/,3,song,Let us sing a traditional English song together now.,我們現在一起唱一首傳統的英文歌曲吧。,Let's sing a happy song together to start class.,讓我們一起唱首快樂的歌開始上課。
movie,電影,Sports,/ˈmuː.vi/,3,movie,We watched a funny animation movie last night.,我們昨晚看了一部有趣的動畫電影。,We watched a funny animation movie in the theater.,我們在電影院看了一部有趣的動畫電影。
piano,鋼琴,Sports,/piˈæn.oʊ/,3,pi/ano,She practices playing the piano for one hour daily.,她每天練習彈鋼琴一個小時。,She practices the piano for one hour every evening.,她每天晚上練習彈鋼琴一個小時。
cup,杯子/獎盃,Tableware,/kʌp/,3,cup,He drank a cup of warm water this morning.,他今天早上喝了一杯溫開水。,Would you like a cup of warm milk before bed?,睡前要來一杯溫牛奶嗎？
dish,碟子/盤子/菜餚,Tableware,/dɪʃ/,3,dish,Please help me wash the dirty dishes after dinner.,晚餐後請幫我清洗髒盤子。,Please wash your own eating dish after lunch.,午餐後請洗自己的餐盤。
glass,玻璃杯/玻璃/眼鏡(複數),Tableware,/ɡlæs/,3,glass,A glass of fresh orange juice tastes very good.,一杯新鮮的柳橙汁味道非常好。,"Please fill this glass with cold water, thank you.",請把這個玻璃杯裝滿冷水，謝謝。
fork,叉子,Tableware,/fɔːrk/,3,fork,We use a fork and spoon to eat spaghetti.,我們使用叉子和湯匙來吃義大利麵。,We use a fork and a knife to eat steak.,我們用叉子和刀吃牛排。
spoon,湯匙/匙,Tableware,/spuːn/,3,spoon,Give me a small spoon to eat the pudding.,給我一個小湯匙來吃布丁。,Use a spoon to drink your pumpkin soup carefully.,用湯匙小心喝你的南瓜湯。
knife,刀子/餐刀,Tableware,/naɪf/,3,knife,Be careful! Do not play with the sharp knife.,小心！不要玩鋒利的刀子。,"Be careful, the kitchen knife is very sharp.",小心，這把菜刀非常鋒利。
chopsticks,筷子(複數),Tableware,/ˈtʃɑːp.stɪks/,3,chop/sticks,"In Taiwan, we use chopsticks to eat rice and noodles.",在台灣，我們使用筷子來吃米飯和麵條。,We usually use chopsticks to eat noodles for lunch.,我們午餐通常用筷子吃麵條。
mug,馬克杯/大杯子,Tableware,/mʌɡ/,3,mug,Grandpa made a mug of hot coffee for himself.,爺爺給自己泡了一馬克杯的熱咖啡。,My dad drinks hot coffee from his blue mug every morning.,我爸爸每天早上用他的藍色馬克杯喝熱咖啡。
evening,傍晚/晚上,Time,/ˈiːv.nɪŋ/,3,evening,We usually do our homework in the early evening.,我們通常在傍晚做功課。,We gather in the living room to talk in the evening.,我們晚上在客廳聚集聊天。
night,夜晚/晚上,Time,/naɪt/,3,night,The stars shine brightly in the dark sky at night.,夜裡星星在黑暗的天空中明亮地照耀著。,The moon shines brightly in the dark night sky.,月亮在黑夜的天空中明亮地照耀著。
now,現在/立刻,Time,/naʊ/,3,now,Please come into the classroom and sit down now.,現在請進教室坐好。,It is time to go to school now.,現在是去學校的時候了。
tomorrow,明天,Time,/təˈmɑːr.oʊ/,3,to/mor/row,"Tomorrow is Sunday, so we do not go to school.",明天是星期天，所以我們不上學。,We will have a science experiment tomorrow morning.,我們明天早上有一堂自然科學實驗課。
day,白天/天/一日,Time,/deɪ/,3,day,We went to the beach on a warm sunny day.,我們在一個溫暖的晴天去了海灘。,I hope you have a happy and wonderful day today.,我希望你今天度過快樂又美好的一天。
yesterday,昨天,Time,/ˈjes.tɚ.deɪ/,3,yes/ter/day,I finished reading the whole book yesterday afternoon.,我昨天下午讀完了整本書。,We played basketball in the park yesterday afternoon.,我們昨天下午在公園打了籃球。
early,早的/早地/提早的,Time,/ˈɝː.li/,3,ear/ly,The diligent student always arrives at school very early.,勤奮的學生總是早早就到學校。,I wake up early in the morning to see the sunrise.,我清晨早起看日出。
late,晚的/遲的/晚地,Time,/leɪt/,3,late,Hurry up! We are going to be late for class.,快一點！我們上課要遲到了。,Please hurry up so we won't be late for the schoolbus.,請快一點，這樣我們搭校車才不會遲到。
time,時間/次數,Time,/taɪm/,3,time,What time does the school library open on weekdays?,學校圖書館在工作日幾點開放？,It is time to go to bed now. Good night!,現在是睡覺時間了。晚安！
watch,手錶/看/觀察/注意,Time,/wɑːtʃ/,3,watch,My dad bought me a nice watch for my birthday.,我爸爸買了一隻漂亮的手錶送我當生日禮物。,My grandfather gave me a nice digital watch as a gift.,我爺爺送我一隻精美的手錶當作禮物。
