單字(Word),中文(Chinese),主題(Topic),音標(Phonetic),難度年級(Grade),拼字音節(Chunks),例句(Sentence),例句中譯(Translation)
front,在...之前,Prepositions,,3,front,The bus stop is right in front of our school gate.,公車站就在我們學校大門口前面。
box,箱子,Other,,3,box,He put all his colorful markers into the wooden box.,他把所有彩色麥克筆放進木箱裡。
bottle,瓶子,Other,,3,bot/tle,Please bring a bottle of water to the playground.,請帶一瓶水去操場。
gift,禮物,Other,,3,gift,This beautiful drawing is a birthday gift for my mom.,這幅美麗的圖畫是送給我媽媽的生日禮物。
mail,信,Other,,3,mail,Did we receive any mail or packages this morning?,我們今天早上有收到任何信件或包裹嗎？
email,電子郵件,Other,,3,email,I sent an email to invite my cousin to our house.,我寄了一封電子郵件邀請我表哥來我們家。
tree,樹,Other,,3,tree,The boys are climbing the big banyan tree in the park.,男孩們正在爬公園裡的大榕樹。
way,路、方向,Other,,3,way,"Excuse me, which is the correct way to the train station?",不好意思，請問去火車站的正確路向是哪一條？
word,字,Other,,3,word,Try to write a new sentence with this English word.,嘗試用這個英文單字寫一個新句子。
sale,拍賣、特價,Other,,3,sale,Those cool toys in the shop are on sale today.,店裡那些炫酷的玩具今天特價拍賣。
fun,樂趣,Other,,3,fun,Playing card games with friends is always full of fun.,和朋友一起玩卡牌遊戲總是充滿樂趣。
thing,東西、物,Other,,3,thing,Please put your personal things into your school bag.,請把你的個人東西放進你的書包裡。
ticket,票,Other,,3,tick/et,We need to buy a train ticket to go to Hualien.,我們需要買一張火車票去花蓮。
dream,夢,Other,,3,dream,I had a funny dream about flying in the sky last night.,我昨晚做了一個關於在天空中飛翔的有趣夢境。
party,派對,Other,,3,par/ty,All the students wore funny hats to the birthday party.,所有的學生都戴著有趣的帽子去參加生日派對。
photo,照片,Other,,3,pho/to,He showed me a group photo of his family.,他向我展示了一張他家人的合照。
robot,機器人,Other,,3,ro/bot,He built a cool robot with some legos yesterday.,他昨天用樂高積木組裝了一個酷機器人。
flower,花,Other,,3,flow/er,The sweet roses in the garden bloom in spring.,花園裡的甜美玫瑰在春天盛開。
cellphone,手機,Other,,3,cell/phone,Please turn off your cellphone before the test starts.,請在考試開始前關閉手機。
birthday,生日,Other,,3,birth/day,What do you want for your tenth birthday gift?,你十歲生日禮物想要什麼？
go,走,Actions,,3,go,We will go for a hike in Yangmingshan this weekend.,我們這週末要去陽明山健行。
get,得到,Actions,,3,get,I hope you can get good grades on the test.,我希望你考試能取得好成績。
cry,哭、哭泣,Actions,,3,cry,The little baby started to cry because he was hungry.,小嬰兒開始哭泣，因為他餓了。
hit,打、碰撞,Actions,,3,hit,He hit the baseball with his new bat yesterday.,他昨天用他的新球棒擊中了棒球。
put,放,Actions,,3,put,Please put the dirty clothes into the laundry basket.,請把髒衣服放進洗衣籃裡。
see,看,Actions,,3,see,I can see a beautiful rainbow over the mountain.,我能看到山那邊有一道美麗的彩虹。
sit,坐,Actions,,3,sit,"Sit down and listen to the teacher carefully, please.",請坐好並仔細聽老師說話。
try,嘗試,Actions,,3,try,You should try to practice speaking English every day.,你應該嘗試每天練習說英文。
call,打電話給,Actions,,3,call,I will call you when I arrive at the station.,我抵達車站後會打電話給你。
come,來,Actions,,3,come,Please come to my house and play games this Saturday.,這星期六請來我家玩遊戲。
find,找到,Actions,,3,find,Did you find the key to your desk drawer?,你找到你的書桌抽屜鑰匙了嗎？
feel,感覺,Actions,,3,feel,I feel very happy because tomorrow is my birthday.,我感到非常高興，因為明天是我的生日。
have,有,Actions,,3,have,We have a fun art class every Wednesday morning.,我們每個星期三早上有一節有趣的美術課。
help,幫助,Actions,,3,help,Can you help me clean the blackboard after class?,下課後你能幫我擦黑板嗎？
hope,希望,Actions,,3,hope,I hope the weather turns sunny for our picnic tomorrow.,我希望明天的天氣放晴以便我們去野餐。
hurt,受傷,Actions,,3,hurt,He fell off his bike and hurt his right knee.,他從腳踏車上摔下來，弄傷了右膝蓋。
know,知道、認識,Actions,,3,know,Do you know how to write this difficult English word?,你知道怎麼寫這個難懂的英文單字嗎？
like,喜歡,Actions,,3,like,I like reading interesting stories about space and stars.,我喜歡讀關於太空和星星的有趣故事。
look,看、看起來,Actions,,3,look,Look at those fluffy white clouds floating in sky.,看天空中漂浮的那些蓬鬆白雲。
love,愛、喜愛,Actions,,3,love,Children love to play in the cool water during summer.,孩子們夏天熱愛在涼爽的水中玩耍。
meet,遇見、會面,Actions,,3,meet,We will meet at the park entrance at nine o'clock.,我們九點鐘在公園門口碰面。
miss,想念,Actions,,3,miss,I will miss my friendly classmates during summer holiday.,暑假期間我會想念我的友善同學。
need,需要,Actions,,3,need,We need to buy some fresh eggs to bake the cake.,我們需要買一些新鮮雞蛋來烤蛋糕。
open,開,Actions,,3,open,Please open the window to let the fresh air in.,請打開窗戶讓新鮮空氣進來。
stop,停,Actions,,3,stop,The yellow school bus stops in front of the gate.,黃色校車停在大門前面。
tell,告訴、告知,Actions,,3,tell,Can you tell me the way to the school library?,你能告訴我前往學校圖書館的路嗎？
wait,等、等待,Actions,,3,wait,Wait for me at the post office after school.,放學後在郵局等我。
walk,走路,Actions,,3,walk,We walk to school together every morning.,我們每天早上一起走路去學校。
want,想要,Actions,,3,want,I want to buy a box of chocolate cookies.,我想買一盒巧克力餅乾。
give,給,Actions,,3,give,Please give me the red marker on the desk.,請把書桌上的紅色麥克筆給我。
make,做、製造,Actions,,3,make,We will make a paper kite in art class tomorrow.,我們明天美術課要做一個紙風箏。
brush,用刷子刷,Actions,,3,brush,Remember to brush your teeth before going to bed.,記得睡前要刷牙。
hurry,趕快、急忙,Actions,,3,hur/ry,"Hurry up, the school bus is coming down the road.",快點，校車已經開過來了。
laugh,笑,Actions,,3,laugh,The funny cartoon made all the children laugh out loud.,有趣的卡通讓所有的孩子大笑出聲。
close,關,Actions,,3,close,Please close the bedroom door quietly when you leave.,離開時請輕輕地關上臥室門。
show,給..看、展示,Actions,,3,show,Please show me your beautiful drawings after class.,下課後請展示你美麗的畫作給我看。
sleep,睡覺,Actions,,3,sleep,Baby pandas sleep for many hours every single day.,貓熊寶寶每天都要睡很多個小時。
smell,聞起來,Actions,,3,smell,These fresh flowers in the garden smell very sweet.,花園裡的這些鮮花聞起來非常香甜。
stand,站、站立,Actions,,3,stand,Please stand up when the teacher enters the classroom.,當老師進入教室時請站起來。
start,開始,Actions,,3,start,The English movie will start in five minutes.,這部英文電影將在五分鐘內開始。
take,攜帶、拿取,Actions,,3,take,Remember to take your warm jacket with you today.,今天記得隨身帶上你溫暖的外套。
thank,感謝(某人),Actions,,3,thank,I want to thank my teacher for helping me.,我要感謝老師對我的幫助。
touch,觸碰,Actions,,3,touch,Please do not touch the clean glass window.,請不要觸碰乾淨的玻璃窗。
wake,醒來、喚醒,Actions,,3,wake,My mom wakes me up at seven o'clock every morning.,我媽媽每天早上七點鐘喚醒我。
worry,擔心,Actions,,3,wor/ry,"Do not worry, we still have enough time to finish.",不用擔心，我們仍有充足的時間來完成。
enjoy,享受、喜歡,Actions,,3,en/joy,We enjoy reading English books in the library.,我們喜歡在圖書館讀英文書。
welcome,歡迎,Interjections,,3,wel/come,You are always welcome to join our sports club.,非常歡迎你加入我們的體育社團。
pick up,撿起、接(人)、接(電話),Actions,,3,pick/up,Please pick up the paper trash on the classroom floor.,請撿起教室地板上的紙屑垃圾。
OK,好的,Interjections,,3,OK,Is it OK to play soccer on the grass?,在草地上踢足球可以嗎？
easy,簡單的,Adjectives,,3,easy,"This spelling test is very easy, and I got ten points.",這個拼字測驗非常簡單，我拿了十分。
fine,很好、不錯的,Adjectives,,3,fine,"The weather is fine today, let us go hiking.",今天天氣晴朗，我們去健行吧。
hard,困難的,Adjectives,,3,hard,He works hard to practice playing the piano daily.,他每天努力練習彈鋼琴。
only,僅有的,Adjectives,,3,on/ly,I have only one red pen in my pencil case.,我筆袋裡只有一支紅色原子筆。
sure,確定的,Adjectives,,3,sure,Are you sure you put the keys in your pocket?,你確定有把鑰匙放在你的口袋裡嗎？
dirty,髒的,Adjectives,,3,dirty,Wash your dirty hands with soap before dinner.,晚餐前用肥皂清洗你髒髒的手。
great,很棒的,Adjectives,,3,great,Having a picnic in the park is a great idea.,在公園野餐是個極棒的主意。
other,其他的,Adjectives,,3,oth/er,Where are the other students of our class?,我們班上的其他學生在哪裡？
quiet,安靜的、平靜的,Adjectives,,3,qui/et,"The library is very quiet, so walk slowly.",圖書館非常安靜，所以請放輕腳步。
ready,準備好的,Adjectives,,3,ready,Are you ready for the spelling contest tomorrow?,你為明天的拼字比賽準備好了嗎？
wonderful,很棒的、精彩的,Adjectives,,3,won/der/ful,We had a wonderful time at the zoo yesterday.,我們昨天在動物園度過了美好的時光。
favorite,最喜歡的,Adjectives,,3,fa/vorite,Benson's favorite sport is playing baseball with friends.,班森最喜愛的運動是和朋友打棒球。
no,不,Interjections,,3,no,There is no milk left in the refrigerator.,冰箱裡沒有剩下任何牛奶了。
so,所以,Other adverbs,,3,so,"It was raining, so we stayed home all day.",那時正下著雨，所以我們整天待在家。
yes,是,Interjections,,3,yes,"Yes, I can speak English and Chinese very well.",是的，我會說英文和中文而且說得很好。
too,1.也,Other adverbs,,3,too,"I bought a blue pen, and my brother bought one too.",我買了一支藍色原子筆，我哥哥也買了一支。
very,非常,Other adverbs,,3,very,The weather in winter is very cold in Taipei.,台北冬天的天氣非常寒冷。
then,然後、接著,Other adverbs,,3,then,We finished our homework and then went to play.,我們完成了功課，然後出去玩。
still,仍然,Other adverbs,,3,still,The bird is still sitting on the tree branch.,那隻鳥仍然停在樹枝上。
not,不、沒有,Other adverbs,,3,not,She is not at home; she went to the bookstore.,她不在家，她去書店了。
never,不曾,Other adverbs,,3,nev/er,My sister has never ridden a bicycle before.,我妹妹以前從未騎過腳踏車。
away,離開,Other adverbs,,3,away,Please put away your toys before going to bed.,睡覺前請收好你的玩具。
always,總是、永遠,Other adverbs,,3,al/ways,He always washes his hands before eating lunch.,他吃午餐前總是洗手。
together,一起,Other adverbs,,3,to/geth/er,We studied English together at the library yesterday.,我們昨天在圖書館一起學習英文。
again,再一次,Other adverbs,,3,again,Can you read this interesting story for me again?,你能再為我讀一遍這個有趣的故事嗎？
maybe,也許,Other adverbs,,3,maybe,Maybe we can visit the zoo next Saturday morning.,也許我們下星期六早上可以造訪動物園。
really,真正地,Other adverbs,,3,re/al/ly,The chocolate cake Grandma made was really yummy.,阿嬤做的巧克力蛋糕真的非常美味。
sometimes,有時候,Other adverbs,,3,some/times,Sometimes we go for a walk in park after dinner.,有時候我們晚餐後會去公園散步。
usually,通常,Other adverbs,,3,usu/al/ly,I usually read storybooks before going to sleep.,我通常在睡覺前讀故事書。
how,如何...,Wh-words,,3,how,How do you spell this long English word?,你怎麼拚寫這個長英文單字？
who,誰...,Wh-words,,3,who,Who is the boy sitting next to the teacher?,坐在老師旁邊的那個男孩是誰？
why,為什麼...,Wh-words,,3,why,Why are you late for class this morning?,你今天早上上課為什麼遲到？
what,什麼...,Wh-words,,3,what,"What is your favorite color, blue or green?",你最喜歡什麼顏色，藍色還是綠色？
when,何時...,Wh-words,,3,when,When does the school library open on weekends?,學校圖書館在週末幾點開放？
where,在哪裡...,Wh-words,,3,where,Where did you buy this cute dog notebook?,你在哪裡買的這本可愛的狗筆記本？
which,哪一個...,Wh-words,,3,which,Which book do you want to read tonight?,你今晚想讀哪一本書？
whose,誰的...,Wh-words,,3,whose,Whose pencil case is this on the floor?,地板上的這個筆袋是誰的？
o,自,Wh-words,,3,o,O is a letter in the alphabet.,O 是字母表中的一個字母。
e,然,Wh-words,,3,e,E is the fifth letter of the alphabet.,E 是字母表中的第五個字母。
phonics,均一教育平台,Wh-words,,3,phon/ics,Phonics helps us learn how to pronounce words.,自然拼讀幫助我們學習如何發音單字。
Expansion,新竹縣鳳岡區,Wh-words,,3,Ex/pan/sion,This book is an expansion of the first story.,這本書是第一個故事的擴展。
Page,國小英語護照,Wh-words,,3,Page,Please turn to page ten of the textbook.,請翻到教科書的第十頁。
is,是,Be & Auxiliaries,,3,is,My brother is the tallest boy in his class.,我哥哥是他班上最高挑的男孩。
am,是,Be & Auxiliaries,,4,am,I am very excited about the school trip tomorrow.,我對明天的學校旅行感到非常興奮。
are,是,Be & Auxiliaries,,4,are,The children are playing tag in the park happily.,孩子們正在公園裡高興地玩捉人遊戲。
eight,八,Numbers,,4,eight,We have eight classes in total every school day.,我們每個上學日總共有八節課。
eleven,十一,Numbers,,4,eleven,There are eleven players on the soccer field.,足球場上有十一名球員。
five,五,Numbers,,4,five,I bought five notebooks from the bookstore.,我從書店買了五本筆記本。
nine,九,Numbers,,4,nine,The school library closes at nine o'clock sharp.,學校圖書館在九點整關閉。
sad,悲傷的,Personal characteristics,,4,sad,She felt sad because she lost her pet rabbit.,她感到很悲傷，因為她弄丟了她的寵物兔。
seven,七,Numbers,,4,sev/en,There are seven days in a single week.,一週總共有七天。
six,六,Numbers,,4,six,He has six storybooks in his backpack.,他的背包裡有六本故事書。
ten,十,Numbers,,4,ten,The test has ten questions in total today.,今天的測驗總共有十道題。
twelve,十二,Numbers,,4,twelve,December is the twelfth and last month of the year.,十二月是一年中的第十二個也是最後一個月。
bike,腳踏車,Transportation,,5,bike,He rides his red bike to school every morning.,他每天早上騎著他的紅色腳踏車去上學。
living room,客廳,House,,5,liv/ing/room,We watched a fun movie together in the living room.,我們在客廳一起看了一部有趣的電影。
any,任何的,Articles,,7,any,Do you have any questions about the English test?,關於英文測驗，你還有任何問題嗎？
catch,接/抓住,Actions,,7,catch,Throw the ball to me and I will catch it.,把球丟給我，我會接住它。
goodbye,再見,Interjections,,7,good/bye,He said goodbye to his friends at the gate.,他在大門口跟他的朋友們道別。
handsome,英俊的,Personal characteristics,,7,hand/some,The movie actor looked very handsome in the film.,電影演員在影片中看起來非常英俊。
hot dog,熱狗,Food,,7,hot/dog,He ate a hot dog and drank some cola for lunch.,他午餐吃了一個熱狗並喝了一些可樂。
invite,邀請,Actions,,7,in/vite,I want to invite my classmates to my birthday party.,我想邀請我的同學們來參加我的生日派對。
learn,學習,Actions,,7,learn,We learn how to speak English in school every day.,我們每天在學校學習如何說英文。
library,圖書館,Places,,7,li/brary,The students are studying quietly in the school library.,學生們正在學校圖書館安靜地學習。
month,月,Time,,7,month,December is the last month of the whole year.,十二月是整年當中的最後一個月。
next,下一個,Time,,7,next,We will visit the zoo next Saturday morning.,我們下星期六早上將造訪動物園。
man,男人,People,,7,man,A kind man helped the old lady cross the street.,一位好心的男子幫助老婦人過馬路。
noodle,麵條,Food,,7,noo/dle,Grandpa likes to eat hot beef noodles for lunch.,爺爺中午喜歡吃熱牛肉麵。
or,或者,Conjunctions,,7,or,Do you want to play soccer or basketball?,你想踢足球還是打籃球？
place,地方,Places,,7,place,Taipei is a very busy and interesting place.,台北是一個非常忙碌且有趣的地方。
plane,飛機,Transportation,,7,plane,The passenger plane is flying high in the blue sky.,客機正高高地飛在藍天中。
post,郵件/張貼,Other verbs,,7,post,He went to the post office to mail a letter.,他去郵局寄信。
my,我的,Pronouns,,7,my,This is my new blue backpack for school.,這是我的新藍色上學背包。
practice,練習,Actions,,7,prac/tice,You should practice speaking English every single day.,你應該每一天都練習說英文。
road,道路,Places,,7,road,Walk carefully because the road is very wet.,請小心行走，因為道路非常潮濕。
our,我們的,Pronouns,,7,our,Our teacher gave us some sweet cookies yesterday.,我們的老師昨天給了我們一些甜餅乾。
phone,電話,Other nouns,,7,phone,She used the phone to call her grandmother.,她用電話打給她的祖母。
sofa,沙發,House,,7,so/fa,We sat on the comfortable sofa and watched TV.,我們坐在舒適的沙發上看電視。
sorry,抱歉,Interjections,,7,sor/ry,I am sorry that I broke your green marker.,很抱歉我弄壞了你的綠色麥克筆。
teach,教導,Actions,,7,teach,Our English teacher teaches us interesting songs.,我們的英文老師教我們有趣的歌曲。
window,窗戶,House,,7,win/dow,Please open the window to let the fresh air in.,請打開窗戶讓新鮮空氣進來。
young,年輕的,Personal characteristics,,7,young,A young girl is reading a book under the tree.,一個年輕的女孩正在樹下看書。
your,你的,Pronouns,,7,your,Please write down your name on this paper.,請在這張紙上寫下你的名字。
a lot of,許多,Articles,,8,a/lot/of,There are a lot of colorful fish in the pond.,池塘裡有許多色彩繽紛的魚。
across,橫過,Prepositions,,8,across,The dog ran across the street to chase a ball.,狗跑過街道去追一個球。
ago,以前,Time,,8,ago,He moved to New York three years ago.,他三年前搬到了紐約。
along,沿著,Prepositions,,8,along,We walked along the river and saw a ship.,我們沿著河流散步並看到了一艘船。
before,在...之前,Prepositions,,8,be/fore,Wash your hands before you eat the apple.,吃蘋果前請先洗手。
between,在...之間,Prepositions,,8,be/tween,The bookstore is located between the post office and the bank.,書店位於郵局和銀行之間。
coffee,咖啡,Food,,8,cof/fee,My father drank a cup of hot coffee this morning.,我爸爸今天早上喝了一杯熱咖啡。
dry,乾的,Other adjectives,,8,dry,Hang your wet clothes outside to make them dry.,把濕衣服掛在外面讓它們變乾。
everyone,每個人,Pronouns,,8,ev/ery/one,Everyone in our class likes the kind teacher.,我們班上的每個人都喜歡這位親切的老師。
gym,體育館,Places,,8,gym,We played basketball in the school gym today.,我們今天在學校體育館打了籃球。
street,街道,Places,,8,street,This busy street is full of cars and buses.,這條忙碌的街道擠滿了汽車和公車。
train,火車,Transportation,,8,train,We took a fast train to go to Hualien.,我們搭乘火車前往花蓮。
was,是(過去式),Be & Auxiliaries,,8,was,"He was sick yesterday, so he stayed home.",他昨天生病了，所以待在家。
were,是(過去式複數),Be & Auxiliaries,,8,were,They were very excited about the school trip.,他們對學校旅行感到非常興奮。
wore,穿(過去式),Actions,,8,wore,She wore a pretty blue dress to the party.,她穿著一件漂亮的藍色洋裝去參加派對。
already,已經,Other adverbs,,9,al/ready,I have already finished all my homework today.,我今天已經完成了所有的作業。
also,也,Other adverbs,,9,al/so,"He likes soccer, and he also plays baseball.",他喜歡足球，而且他也打棒球。
been,是(過去分詞),Be & Auxiliaries,,9,been,Have you ever been to the Taipei zoo?,你曾去過台北動物園嗎？
bring,帶來,Actions,,9,bring,Remember to bring your English dictionary tomorrow.,明天記得帶上你的英文字典。
busy,忙碌的,Personal characteristics,,9,busy,Our teacher is very busy grading the papers.,我們的老師忙著批改考卷。
cheese,起司,Food,,9,cheese,Put a slice of cheese on the hot hamburger.,在熱漢堡上放一片起司。
expensive,昂貴的,Other adjectives,,9,ex/pen/sive,This computer is too expensive for me to buy.,這台電腦太昂貴了，我買不起。
finish,完成,Actions,,9,fin/ish,We must finish our work before going home.,我們回家前必須完成我們的工作。
hear,聽到,Actions,,9,hear,Did you hear the birds singing in the tree?,你聽到樹上鳥兒在唱歌了嗎？
just,只是/剛剛,Other adverbs,,9,just,I just saw a cute squirrel in the garden.,我剛剛在花園裡看到一隻可愛的松鼠。
large,大的,Sizes & measurements,,9,large,They live in a large house with a garden.,他們住在一棟帶花園的寬敞房子裡。
lucky,幸運的,Personal characteristics,,9,lucky,You are very lucky to win the first prize.,你非常幸運能贏得一等獎。
often,經常,Other adverbs,,9,of/ten,We often play games together on weekends.,我們週末經常一起玩遊戲。
popular,受歡迎的,Personal characteristics,,9,pop/u/lar,Benson is a very popular student in our school.,班森是我們學校非常受歡迎的學生。
since,自從,Prepositions,,9,since,I have studied English since I was seven.,我自從七歲起就學習英文。
subject,學科,School,,9,sub/ject,"What is your favorite subject, math or science?",你最喜歡的學科是什麼，數學還是自然科學？
think,認為,Actions,,9,think,I think reading books is a great hobby.,我認為閱讀書籍是一個極佳的嗜好。
tomato,番茄,Food,,9,toma/to,We need some fresh tomatoes to make the salad.,我們需要一些新鮮番茄來製作沙拉。
use,使用,Actions,,9,use,Do you know how to use this dictionary?,你知道如何使用這本字典嗎？
caught,抓(過去式),Actions,,9,caught,The goalkeeper caught the soccer ball successfully.,守門員成功接住了足球。
flown,飛(過去分詞),Actions,,9,flown,Many birds have flown to warm places in winter.,許多鳥在冬天已經飛往溫暖的地方。
felt,感覺(過去式),Other verbs,,9,felt,He felt very happy when he won the game.,當他贏了比賽時感到非常高興。
found,找到(過去式),Actions,,9,found,She found her lost key under the kitchen table.,她在廚房桌子底下找到了她遺失的鑰匙。
grown,成長(過去分詞),Other verbs,,9,grown,The little tree has grown tall in the garden.,那棵小樹在花園裡已經長高了。
grew,成長(過去式),Actions,,9,grew,The small puppy grew into a big strong dog.,小狗長大成了一隻強壯的大狗。
heard,聽見(過去式),Actions,,9,heard,I heard someone knocking on the door yesterday.,我昨天聽到有人在敲門。
known,知道(過去分詞),Actions,,9,known,He has been known as a kind doctor here.,他一直以來在這裡被知曉是一位親切的醫生。
spoken,說(過去分詞),Actions,,9,spo/ken,English is spoken by many people in the world.,英語被世界上許多人所說。
stood,站立(過去式),Actions,,9,stood,The students stood up when the teacher walked in.,當老師走進來時，學生們站了起來。
thought,想(過去式),Actions,,9,thought,I thought the English test was very easy.,我本來以為英文測驗很簡單。
written,寫(過去分詞),Actions,,9,writ/ten,She has written many interesting stories for kids.,她已經為孩子們寫了許多有趣的故事。
